,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5872,4.0,2024,Still Looking,2,Psychology,Female,College and Graduate School of Arts & Sciences,0,0,6,3.64,0,1,0,1,0,0,0.0,0
5873,4.0,2024,Still Looking,2,Psychology,Female,College and Graduate School of Arts & Sciences,0,0,6,3.61,0,1,0,1,0,0,0.0,0
5874,4.0,2024,Working,2,Computer Science,Male,College and Graduate School of Arts & Sciences,1,1,0,,0,1,0,0,0,0,0.0,0
5875,4.0,2024,Continuing Education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0,7,,0,0,1,0,0,0,1.0,1
5876,4.0,2024,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,6,60,4.0,0,1,0,0,1,1,0.0,0
5877,4.0,2024,Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1,30,,0,1,0,0,0,0,0.0,0
5878,4.0,2024,Fellowship,2,English,Female,College and Graduate School of Arts & Sciences,0,0,11,,0,1,0,0,0,0,0.0,0
5879,4.0,2024,Still Looking,3,Architecture,Female,School of Architecture,0,1,18,3.9,0,1,0,1,0,0,0.0,0
5880,4.0,2024,Still Looking,3,Architecture,Female,School of Architecture,0,1,18,4.0,0,1,0,1,0,0,0.0,0
5881,4.0,2024,Volunteering,2,Chemistry,Female,College and Graduate School of Arts & Sciences,0,2,59,3.8,0,1,0,0,1,1,0.0,0
5882,4.0,2024,Continuing Education,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,2,8,4.78,0,1,1,0,1,0,0.0,0
5883,4.0,2024,Continuing Education,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,2,8,3.96,0,1,1,0,1,0,0.0,0
5884,4.0,2024,Working,1,Nursing,Female,School of Nursing,1,0,2,,0,1,0,0,0,0,0.0,0
